"59wdeLZoQ0AY56JkxyTyMF",1,"Emergence","Trifonic","Emergence","spotify:track:59wdeLZoQ0AY56JkxyTyMF"
"0m8xkdI6XorfITZzXDS9LT",2,"Broken","Trifonic","Emergence","spotify:track:0m8xkdI6XorfITZzXDS9LT"
"44VAp0xmmV3DVoIe3Hs7V1",3,"Parks on Fire","Trifonic","Emergence","spotify:track:44VAp0xmmV3DVoIe3Hs7V1"
"2RnaRJBS0JpMxQywBwn7vM",4,"Infiltration","Trifonic","Emergence","spotify:track:2RnaRJBS0JpMxQywBwn7vM"
"5PZN2lQL8IusNEc8L5BeeW",5,"Lies","Trifonic","Emergence","spotify:track:5PZN2lQL8IusNEc8L5BeeW"
"4RVIbxMIJKYwr1RejJk3kI",6,"Transgenic","Trifonic","Emergence","spotify:track:4RVIbxMIJKYwr1RejJk3kI"
"26msycIwYkKFGlB78u7llE",7,"Sooner or Later","Trifonic","Emergence","spotify:track:26msycIwYkKFGlB78u7llE"
"1I46FWzmzYHos951DU88WS",8,"Vacuum Tree","Trifonic","Emergence","spotify:track:1I46FWzmzYHos951DU88WS"
"4ME14EPPp62T2hugH3yjTs",9,"Terminal A","Trifonic","Emergence","spotify:track:4ME14EPPp62T2hugH3yjTs"
"0l7292tVvLU60W8642ogrk",10,"Terminal B","Trifonic","Emergence","spotify:track:0l7292tVvLU60W8642ogrk"
"1ECStnVPay2NFCNUour8ag",11,"Good Enough","Trifonic","Emergence","spotify:track:1ECStnVPay2NFCNUour8ag"
